"","""LEW.STD.1""","""LEW.STD.2""","""LEW.STD.3""","""LEW.STD.4""","""LEW.STD.5""","""WKY.STD.1""","""WKY.STD.2""","""WKY.STD.3""","""WKY.STD.4""","""WKY.STD.5""","""LEW.CAF.1""","""LEW.CAF.2""","""LEW.CAF.3""","""LEW.CAF.4""","""LEW.CAF.5""","""WKY.CAF.1""","""WKY.CAF.2""","""WKY.CAF.3""","""WKY.CAF.4""","""WKY.CAF.5"""
"Il1r2",7.35598696844659,8.45725285622105,8.22909044305634,7.65430579329401,8.26506432806047,8.06867420361855,10.3408917104033,9.29897051299791,8.9794870811243,10.583661515522,8.05206471835727,9.16168940583352,7.98118080334006,7.57410755868101,8.37303953287245,9.45701381184296,8.29522548232492,8.07435096673201,9.41763568891174,8.98115500501345
"Mmp12",6.23419705920965,6.2346795107873,5.95795617302996,5.86810113713477,6.2895529041747,6.52130325185754,7.02970010967086,7.53967091512479,8.09329584236747,7.27894397876394,6.18284205557974,5.88828404237645,5.76139011275139,6.22134471242276,6.83192307895683,6.89293095586104,6.89340393954834,7.00618848141434,7.26627938876997,7.83597297607351
"Pop5",9.18969991150319,9.0349225094137,9.03126889936338,8.97821554337676,9.23873699644789,10.6409924182144,10.4680047405661,10.5623282172063,10.4439189993665,10.3976673661831,8.99694207222477,8.92832053197155,8.97795838048938,9.07422364210018,9.15355667255965,10.4997783022669,10.6143863273099,10.8396834587101,10.7480267983924,10.6147752767988
"Ncr1",6.71644262243363,6.84432436272574,6.91042464610284,7.13190293645417,7.46817422729368,7.73991738489219,8.30980978709649,8.22267449309691,8.43157360437675,8.78557294638996,7.0871025309774,7.61690387761674,7.03254503701085,7.36958648346246,7.42616376965645,7.76302105719481,7.69471304966813,7.7681649569613,7.95418638586205,8.41883063721014
"Sv2a",8.62927132324755,8.39519786609952,8.56185419532035,8.9425822419887,8.64053631511755,6.93964465871058,6.91982657385488,7.53550705916472,7.05092205155523,7.19682520149079,8.53748021386763,8.30234420545516,8.91928951818983,8.61415140560755,8.58873998957082,7.04634004996225,7.08367242487561,7.35205541951949,6.9791433309171,7.0622612751003
"Chst10",6.76421712291596,6.88432050272737,7.0533586247967,6.99140770625058,6.95657736637899,7.7603917851385,7.69160594645271,7.77569135110466,7.64744580262441,7.99982137697967,6.8283219104859,6.70108861618979,6.82413782921367,6.82299667497925,7.11969168453976,8.09082115045432,8.04571829112724,8.11538493899529,8.25778982563187,8.35082163364951
"Il23a",7.95954849595417,8.18542556005513,7.89394748764931,7.35078886124524,7.63602514408909,8.51343396463689,10.4159356043754,9.77881356055672,9.72110674457905,9.93234511959475,7.88460362412675,8.20198676317113,7.44892338462843,7.49583175751568,8.16976993168879,9.87778980571285,9.34544061165775,8.83533498085507,9.99290238421501,9.86360741689798
"Lcn2",8.68348871046683,9.10850245725888,8.38185869488013,6.87023289749126,8.69430629261427,9.28436263796399,10.76696059574,10.0912560048913,9.943945158007,10.7657326821129,8.58465307157426,9.69123937143195,7.66199083774012,8.94412693602179,9.73319453063709,9.96652054480574,10.1331317901092,9.38785087171947,10.229884247916,10.4605572874678
"Tmlhe",7.07011315999953,7.22883211452227,7.24606157901535,7.40586070557756,7.28596134249535,9.1357271283114,9.1358331447433,9.11760700110194,8.96938952250512,8.81167221268456,7.12514573445284,7.19823543503971,7.34378182601542,7.40851037688516,6.99889603776853,9.11126165655118,9.12427050083737,9.28267526853713,8.86572295790921,8.92086323217579
"Kcng3",7.45625514841832,7.52226690379662,7.73013494683093,7.20671503870743,6.90533410197852,8.66508693339184,8.68758107781544,8.94841847948197,9.13626277022158,8.9916001803815,7.69140310918025,8.18081196806725,7.28272622808571,7.38460643583702,7.03329540482444,8.69735454951508,9.07856295901369,9.13298546394715,9.00106395984183,9.05819871588067
"Cx3cr1",10.0911406592612,10.1766285557947,10.0878974033466,10.7448847243397,10.099321545893,9.52554434525792,9.05737213548726,9.51579235288328,9.11124833330422,9.23107658717798,10.6758155025876,10.0715910794568,10.8448387912801,10.2218088341768,9.91841212457022,8.73392407909983,9.37979167584874,8.65209973847708,8.967940312163,9.42755486477765
"Fcer2",9.60864656516009,10.0934098341089,10.0282685268289,9.04290550791372,9.34620038726582,9.32538009977069,7.86533987760755,8.00568728413846,8.66954476288944,8.48882190142066,9.96187653456946,10.6226776677647,9.59987830645772,9.52153046464583,9.5875982758209,8.77895130017648,8.66846746060829,8.49896532899276,8.84267538759353,9.06424857272565
"Xcl1",7.49545269214245,8.15925646772397,7.64056806321893,8.24139732699393,7.85708950358341,10.1934535413151,11.1189704796782,10.3992750260598,12.4556121178076,11.622822768131,7.19886023584337,7.58931361443008,7.81289458877433,7.81795497625155,8.77711086632171,10.3932185635212,10.0339243601302,10.3362129124241,9.40641019099505,9.86073882282806
"Tmem176b",8.26521681115372,8.01531313809141,7.80995288896595,7.93858016905657,7.57461969519669,9.27668978724648,9.3822781278069,9.3222534316805,8.83899983662671,9.23790348636836,7.98943806882941,7.78219873395944,8.30989372577067,7.11307009090071,7.4205081731856,9.52501966169653,9.18921090760755,8.84087373882879,8.81885183967489,9.03406312806693
"Prok2",7.99000291329557,8.28869938118987,8.74189235445584,8.28529965281563,7.88046621424166,9.07974486628311,11.2295909853254,10.686968098426,9.82088767139251,11.20524767126,8.49445985003725,9.87272103150378,8.63654259676035,7.6946227325718,8.30293858705477,10.8972880495487,9.87624879255464,9.02295458947616,10.2872194668401,10.1920256570731
"Plpp3",6.88669956118746,7.27024678672616,7.22225061171151,6.94574796292576,6.85370898864265,7.81986021605906,8.00600825320353,7.77816252825806,7.89113684418497,7.83097871901172,7.0638385682575,6.79629503778622,6.89191621432744,6.7348045669669,7.06677606412086,7.79028801911193,7.90246845695266,7.70224216692607,8.14736875400829,8.24903566787518
"Oas1a",6.98301680629609,6.76603544448318,6.99531146557448,7.24474317575578,6.7602146715417,8.47228474221777,8.58577843525102,8.57594965555183,7.96125717480104,8.46528156282773,6.93501748096723,6.95564266324202,6.56532981053411,6.63141716342933,7.10728662115007,8.00737212681224,7.90508430968547,7.57653388200635,8.14377964651844,8.00143140787826
"Hdc",7.30570138512981,7.25799412276521,7.15893433778641,7.04281652501648,7.23510283418052,7.59834745276998,9.42397781115011,8.89733761642152,8.52433787911728,9.4264502848917,7.19680241129919,7.28365559988607,7.07023907619049,7.26740178940196,8.15640599983557,8.71322769113802,7.77677886818404,7.89115310855088,8.67211716886313,8.53130350253063
"Il1a",11.8476547614681,11.6350880060483,11.0131587945865,9.48537778282573,10.761854433602,11.9750099190098,12.5087157726067,12.1989388145701,12.3092521252316,12.0810113676443,11.3229853007867,10.4887273679403,10.4034232934021,10.8978465021196,12.0021885492884,12.3772657888098,12.2617760827651,12.0886822618877,12.338927630757,12.3794812328144
"Il6",8.79748930524965,9.18671256360011,8.7358795283551,6.71291023764518,7.14725808634635,10.1155547790116,9.36454659090485,9.72871074311574,9.21620006675275,9.34883501143186,8.89508943827184,9.23790092212475,7.64202521788607,7.39461222506451,9.04838969128063,9.55477741412461,10.1155870568637,9.24293183315051,10.1007772122052,10.041829200566
