"","""LEW.STD.1""","""LEW.STD.2""","""LEW.STD.3""","""LEW.STD.4""","""LEW.STD.5""","""WKY.STD.1""","""WKY.STD.2""","""WKY.STD.3""","""WKY.STD.4""","""WKY.STD.5""","""LEW.CAF.1""","""LEW.CAF.2""","""LEW.CAF.3""","""LEW.CAF.4""","""LEW.CAF.5""","""WKY.CAF.1""","""WKY.CAF.2""","""WKY.CAF.3""","""WKY.CAF.4""","""WKY.CAF.5"""
"10770195",5.40873351400765,5.36027798851256,5.52577523941619,5.58906004765279,5.34899193406606,5.22533107395499,5.33335271719869,5.17386148019633,5.4751257350716,5.21572121807862,5.39045791801565,5.36686355489033,5.1237989638754,5.52172280281371,5.51463234623712,5.18387856964562,5.34836837527669,5.51548083108994,5.30362754551469,5.19968467951887
"10816485",4.49155022417234,4.45487687736536,4.66308605600658,4.62569411179347,4.70331937463544,4.44788702056384,4.57255254518098,4.99019677399619,4.63951130188588,4.86837174972091,4.49745326651238,4.72283031475866,4.85009591020901,4.6158685244158,4.59543831445656,4.72231595385737,4.46187739169637,4.76771455766785,4.64201002819091,4.55086806118821
"10815915",7.39682047938759,7.49162789816529,7.71281942880451,7.48903195375363,7.88564494742286,7.25109791980679,7.35365547770589,7.51726877394425,7.6199932444462,7.45739275053282,7.57242512320614,7.26086142480033,7.38099585646915,7.63318367745463,7.63611419359137,7.47363438278021,7.58792300392823,7.6694501353761,7.64504232683708,7.59700903658538
"10939779",6.2685420466748,6.63482717987284,6.32786156718681,6.32455380125411,6.23261525368429,6.80794809413699,6.17448924709768,6.14985643584289,6.98764918067479,6.46019508821079,6.16079950376733,5.93137862323103,6.19464641651879,6.23455288821853,6.22834811128706,6.39120972665203,6.39686561646337,6.5689919516236,6.45402908540781,6.20879940228031
"10735887",9.35123308706326,9.44192749997707,9.1622409634741,9.13047298378593,8.62235122732782,9.45068418651181,9.58416524901805,9.33476946955057,9.34658918505487,9.45026964469067,9.51409266941935,9.24788220887215,9.16145824869681,8.50389789224376,8.87502935721938,9.40785349990542,9.30054398688324,8.66903120821383,9.14807575890947,9.13872046745963
"10810150",8.46391333070929,8.31400897009621,8.35612977482057,7.96209219164794,7.85595288930495,8.31022345672245,8.88835754722431,8.64932861817916,8.40921515270052,8.7511025183375,8.42731835504914,8.46326211101795,8.0502438406239,7.79624171573785,8.18036957936002,8.53738710206208,8.51592535624579,8.31833532712302,8.33418035759986,8.62106328251715
"10904221",7.49352881423589,7.34267746627406,7.51119084967977,7.25707622283237,7.20033669192646,7.0897015464172,7.15174878148201,7.29779689001487,7.50839412931393,7.39115840195938,7.44657485933058,7.57951788312554,7.44003972501494,7.30081825130186,7.42743889545671,7.12551157346513,7.11476568743628,7.30527426185514,7.19688010583249,7.23538621231589
"10876933",6.62975692889219,5.69759504991138,6.62456875752298,6.43361416485032,6.44234670382023,5.72269358390225,5.88048842812375,5.82781335310022,6.27545910107762,5.82356002235721,6.75461995624642,6.55358649105624,6.46339455719448,6.56848008714349,6.7581422923267,5.94163388758453,6.04112693244191,6.51715192386833,5.60005081718257,6.17251789119662
"10874116",5.9850571183283,6.23255648075169,6.43271067026345,5.82048159256765,5.86235784451392,6.81120262355133,6.65921441883743,6.72547093459711,6.6677210018813,6.65650126503969,6.69408106209361,6.31052584917997,6.13847839109584,6.09417260637111,6.2181216271184,6.60813033924195,6.50091129013984,6.01017043940675,6.65896544762447,6.55830360671341
"10840061",6.62602782076446,6.30838626254864,6.66090293706485,6.52165896839588,6.70983361298378,6.41290662706101,6.21799956953568,6.33820304878845,6.69752596458408,6.46234543921402,6.54998586698832,6.2254020200153,6.32169198102786,6.42898930858009,6.44789525293526,6.08997529450447,6.50323810880821,6.79764636984828,6.24070339165624,6.42922827158934
"10732798",5.77430103253319,5.20640052715508,5.37848859766154,5.58878131185611,5.55616217075359,5.34134120267724,5.24037039656702,5.24547451678976,5.31693523833687,5.34586122435534,5.51258044041341,5.47517503680908,5.36681363516682,5.65770758425486,5.67286123392472,5.14489450117499,5.27965199127691,5.36537197659722,5.11126813650645,5.10541597161299
"10802272",5.93531102799589,5.92007818761346,6.08017721676769,6.22901274470085,5.70516604895973,6.05789042494712,5.80339090901057,6.11801492053085,5.89501610396834,6.15993576528296,6.1231669284522,5.95347416576383,6.13894289038958,5.90158899341385,6.1296923261367,6.08034136641713,5.97507588907234,5.85581889380609,6.07029416222959,6.06030489627105
"10763685",8.58657423029134,8.37936814733815,8.61310485860989,8.29824677100513,8.3606481962345,8.21296812746197,8.32473376615965,8.63211458361781,9.37908478581247,8.34213734640062,8.5254878092967,8.8984019413291,8.19215469386161,8.20875757016961,8.39347135136792,8.28937028108217,8.539025311091,9.32436118178272,8.26503727440478,8.40960618116593
"10764367",11.0810256920558,10.8640528002696,10.8674120108395,10.7749939295302,10.6459449805157,10.2817975020541,10.2484863392775,10.1948290994494,10.6872332960615,10.0580696325583,10.9547805039723,11.0809364409167,10.9988842066867,10.789092781836,10.8441120569302,10.2991395646278,10.3249140640878,10.8186399959616,10.3575135150139,10.2566517598194
"10819903",7.73285840000019,7.89136374323255,7.92361447431153,7.86283333650782,8.09334576085384,8.11801432720465,7.57178642289312,7.76510487401973,8.00785884856538,7.88519175943071,7.80102863254167,7.85141620249896,7.76784210245584,8.00473197234496,7.76543544450025,7.72583830871677,7.93830072761452,7.99265312797989,7.9542308230079,8.02190726373246
